# HCP-VS limbic striatum subject-level connectivity values
# Created: 2026-06-03
#
# This file contains HCP Subject IDs and derived hippocampus-ventral striatum (HPC-VS) limbic striatum connectivity values only.
# Connectivity columns correspond to the source variables limbic_Left and limbic_Right from averaged_data.sav.
# No HCP behavioral, demographic, diagnostic, alcohol-use, or other questionnaire variables are included in this file.
# Those HCP measures must be obtained through the Human Connectome Project/ConnectomeDB under the appropriate data-use terms.
# Open-access HCP data require ConnectomeDB registration and acceptance of the Open Access Data Use Terms.
# Restricted HCP data elements require a separate Restricted Data application; each investigator who will view/use restricted data must apply, and approval is case-by-case.
# ConnectomeDB: https://db.humanconnectome.org
# HCP Young Adult Data Use Terms and Restricted Data application links: https://www.humanconnectome.org/study/hcp-young-adult/data-use-terms
# Restricted Data Usage overview: https://www.humanconnectome.org/study/hcp-young-adult/document/restricted-data-usage
#
# N subjects with complete left/right HPC-VS limbic striatum values: 626
#
Subject	HPC_VS_limbic_striatum_left	HPC_VS_limbic_striatum_right
506234	0.337653333333333	0.408087
510326	0.394377666666667	0.384352666666667
512835	0.340358666666667	0.451373666666667
513736	0.507809333333333	0.596871666666667
517239	0.571597666666667	0.399479333333333
519950	0.322861	0.395862
524135	0.389991333333333	0.411299666666667
525541	0.511120333333333	0.379054
529549	0.240602	0.364328333333333
529953	0.34627	0.357931
530635	0.324027	0.326470666666667
531536	0.360182333333333	0.327091666666667
536647	0.515474333333333	0.487468
540436	0.240279333333333	0.439326666666667
541943	0.284466333333333	0.307314333333333
545345	0.361503666666667	0.362831333333333
548250	0.352911	0.394915666666667
553344	0.357053	0.467154
555348	0.318043333333333	0.393725
555651	0.386168666666667	0.253410666666667
557857	0.427058	0.386526
559053	0.465594333333333	0.434521666666667
561242	0.496898	0.440049666666667
562345	0.400094333333333	0.362238333333333
562446	0.327114333333333	0.24414
567052	0.215109	0.344981
567961	0.362075333333333	0.396845333333333
568963	0.230438666666667	0.366462333333333
571144	0.397297333333333	0.41106
572045	0.365441	0.297338
573249	0.391766666666667	0.384454333333333
573451	0.411585666666667	0.361270333333333
576255	0.425098666666667	0.443430666666667
579867	0.464596	0.382334
580044	0.431492333333333	0.443155
580650	0.282798	0.460008666666667
580751	0.524452	0.497236666666667
581349	0.344549333333333	0.320474
583858	0.422525666666667	0.416109333333333
585256	0.436252333333333	0.268161666666667
586460	0.326358333333333	0.320886666666667
587664	0.275715	0.555537
588565	0.446723333333333	0.350648
594156	0.290725	0.372500666666667
597869	0.273019333333333	0.428908666666667
598568	0.422938	0.468671666666667
599065	0.323306666666667	0.390710666666667
599469	0.472435666666667	0.314721
599671	0.300934666666667	0.360212
604537	0.419116	0.577559333333333
609143	0.255121666666667	0.307621333333333
611938	0.433710333333333	0.323632333333333
613538	0.503368	0.465564666666667
615744	0.308431	0.348503333333333
616645	0.476062666666667	0.495593666666667
617748	0.447973333333333	0.437116666666667
618952	0.377323	0.422213333333333
622236	0.388783333333333	0.308699333333333
623844	0.350855333333333	0.273764333333333
626648	0.303397666666667	0.443146333333333
627549	0.381995333333333	0.390703333333333
627852	0.475381666666667	0.473098
628248	0.327455666666667	0.471190333333333
633847	0.331925333333333	0.350785333333333
638049	0.375482333333333	0.420591
645450	0.319952	0.254569666666667
645551	0.405726666666667	0.455934
647858	0.334384	0.442885666666667
654350	0.485306	0.27289
654754	0.39006	0.367004666666667
656657	0.447326	0.409839333333333
657659	0.276521	0.465533333333333
660951	0.306127	0.222813333333333
663755	0.290797	0.275384666666667
664757	0.386173	0.367224
667056	0.354614333333333	0.394172
668361	0.395875666666667	0.546180666666667
671855	0.426411666666667	0.439895333333333
672756	0.350211333333333	0.410105
673455	0.341243666666667	0.334471333333333
677766	0.456148666666667	0.422672666666667
677968	0.448550666666667	0.347039
679568	0.385441	0.539255666666667
679770	0.371556666666667	0.411194333333333
680957	0.286389666666667	0.329185666666667
683256	0.486327	0.385378
