model,row_id,Subject,deleted_position,term,dfbetas,abs_dfbetas
left_interaction,685,871964,319,c_left_hpc_vs,-0.0011483122221655356,0.0011483122221655356
left_interaction,685,871964,319,Sex1,0.012125080676325608,0.012125080676325608
left_interaction,685,871964,319,c_left_hpc_vs:Sex1,0.0010146186169541485,0.0010146186169541485
left_interaction,686,211215,320,c_ICV,-0.007345391213892869,0.007345391213892869
left_interaction,686,211215,320,c_left_hpc_vs,-0.0034975349825358535,0.0034975349825358535
left_interaction,686,211215,320,Sex1,-0.014161676447045822,0.014161676447045822
left_interaction,686,211215,320,c_left_hpc_vs:Sex1,7.540689372664715e-4,7.540689372664715e-4
left_interaction,687,664757,321,c_ICV,0.03345664016293685,0.03345664016293685
left_interaction,687,664757,321,c_left_hpc_vs,4.2798219506715176e-4,4.2798219506715176e-4
left_interaction,687,664757,321,Sex1,0.06194527545901312,0.06194527545901312
left_interaction,687,664757,321,c_left_hpc_vs:Sex1,-3.154751504225543e-4,3.154751504225543e-4
left_interaction,688,137229,322,c_ICV,-0.024603643366358934,0.024603643366358934
left_interaction,688,137229,322,c_left_hpc_vs,-7.08059716945511e-4,7.08059716945511e-4
left_interaction,688,137229,322,Sex1,-0.01983720261834903,0.01983720261834903
left_interaction,688,137229,322,c_left_hpc_vs:Sex1,-0.0014847693950976468,0.0014847693950976468
left_interaction,689,191942,323,c_ICV,-0.004526517820028117,0.004526517820028117
left_interaction,689,191942,323,c_left_hpc_vs,0.003531489901839864,0.003531489901839864
left_interaction,689,191942,323,Sex1,-0.06077733938862495,0.06077733938862495
left_interaction,689,191942,323,c_left_hpc_vs:Sex1,-8.28834600023004e-4,8.28834600023004e-4
left_interaction,690,120212,324,c_ICV,0.04935038641163882,0.04935038641163882
left_interaction,690,120212,324,c_left_hpc_vs,5.158668247331892e-4,5.158668247331892e-4
left_interaction,690,120212,324,Sex1,-4.2946485132991786e-4,4.2946485132991786e-4
left_interaction,690,120212,324,c_left_hpc_vs:Sex1,0.0019649633610030783,0.0019649633610030783
left_interaction,691,395756,325,c_ICV,-0.0627517657503716,0.0627517657503716
left_interaction,691,395756,325,c_left_hpc_vs,4.932225043450791e-4,4.932225043450791e-4
left_interaction,691,395756,325,Sex1,-0.06348221260589057,0.06348221260589057
left_interaction,691,395756,325,c_left_hpc_vs:Sex1,0.0030138741140065695,0.0030138741140065695
left_interaction,692,330324,326,c_ICV,0.0015748901409400626,0.0015748901409400626
left_interaction,692,330324,326,c_left_hpc_vs,-0.002349931325658431,0.002349931325658431
left_interaction,692,330324,326,Sex1,0.023279008615351402,0.023279008615351402
left_interaction,692,330324,326,c_left_hpc_vs:Sex1,0.0017930405676584887,0.0017930405676584887
left_interaction,693,826353,327,c_ICV,0.025133535962371584,0.025133535962371584
left_interaction,693,826353,327,c_left_hpc_vs,0.004227217577068751,0.004227217577068751
left_interaction,693,826353,327,Sex1,0.04228786772199903,0.04228786772199903
left_interaction,693,826353,327,c_left_hpc_vs:Sex1,0.003129901450499004,0.003129901450499004
left_interaction,694,108525,328,c_ICV,0.0599551727577411,0.0599551727577411
left_interaction,694,108525,328,c_left_hpc_vs,-0.005027387099823682,0.005027387099823682
left_interaction,694,108525,328,Sex1,0.0786007474216366,0.0786007474216366
left_interaction,694,108525,328,c_left_hpc_vs:Sex1,0.004228480571666634,0.004228480571666634
left_interaction,695,211114,329,c_ICV,0.04812434547671971,0.04812434547671971
left_interaction,695,211114,329,c_left_hpc_vs,0.004828361964794808,0.004828361964794808
left_interaction,695,211114,329,Sex1,0.057455653274533794,0.057455653274533794
left_interaction,695,211114,329,c_left_hpc_vs:Sex1,0.003567776504565464,0.003567776504565464
left_interaction,696,134728,330,c_ICV,-0.006994357591961455,0.006994357591961455
left_interaction,696,134728,330,c_left_hpc_vs,-0.0017297295117982905,0.0017297295117982905
left_interaction,696,134728,330,Sex1,0.016012106602816337,0.016012106602816337
left_interaction,696,134728,330,c_left_hpc_vs:Sex1,0.0014472766105986254,0.0014472766105986254
left_interaction,697,171532,331,c_ICV,0.008483136720059983,0.008483136720059983
left_interaction,697,171532,331,c_left_hpc_vs,-0.002722798696924981,0.002722798696924981
left_interaction,697,171532,331,Sex1,0.002149210258689573,0.002149210258689573
left_interaction,697,171532,331,c_left_hpc_vs:Sex1,-3.786344889922606e-4,3.786344889922606e-4
left_interaction,698,298051,332,c_ICV,0.11317955736152106,0.11317955736152106
left_interaction,698,298051,332,c_left_hpc_vs,0.005500269968493128,0.005500269968493128
left_interaction,698,298051,332,Sex1,0.1000272163376559,0.1000272163376559
left_interaction,698,298051,332,c_left_hpc_vs:Sex1,0.003700387697221545,0.003700387697221545
left_interaction,699,162228,333,c_ICV,0.12888719540448854,0.12888719540448854
left_interaction,699,162228,333,c_left_hpc_vs,0.014140213435354114,0.014140213435354114
left_interaction,699,162228,333,Sex1,0.018928703255285437,0.018928703255285437
left_interaction,699,162228,333,c_left_hpc_vs:Sex1,-0.015887011824560072,0.015887011824560072
left_interaction,700,154936,334,c_ICV,-0.007240865473136339,0.007240865473136339
left_interaction,700,154936,334,c_left_hpc_vs,-0.0013292058839009062,0.0013292058839009062
left_interaction,700,154936,334,Sex1,-0.014334160786569086,0.014334160786569086
left_interaction,700,154936,334,c_left_hpc_vs:Sex1,-0.0014112830323102941,0.0014112830323102941
left_interaction,701,486759,335,c_ICV,-0.010593460097704056,0.010593460097704056
left_interaction,701,486759,335,c_left_hpc_vs,-0.005284066022495318,0.005284066022495318
left_interaction,701,486759,335,Sex1,-0.015170464066445077,0.015170464066445077
left_interaction,701,486759,335,c_left_hpc_vs:Sex1,0.0026497389597651983,0.0026497389597651983
left_interaction,702,153025,336,c_ICV,-0.057002703838287774,0.057002703838287774
left_interaction,702,153025,336,c_left_hpc_vs,-0.014832591253051544,0.014832591253051544
left_interaction,702,153025,336,Sex1,-0.09169466480900337,0.09169466480900337
left_interaction,702,153025,336,c_left_hpc_vs:Sex1,-0.01903332978642661,0.01903332978642661
left_interaction,703,907656,337,c_ICV,0.021271140742991197,0.021271140742991197
left_interaction,703,907656,337,c_left_hpc_vs,-0.003407682380283745,0.003407682380283745
left_interaction,703,907656,337,Sex1,0.008433804838621745,0.008433804838621745
left_interaction,703,907656,337,c_left_hpc_vs:Sex1,-0.0011090982154973185,0.0011090982154973185
left_interaction,705,391748,338,c_ICV,0.008281910828446787,0.008281910828446787
left_interaction,705,391748,338,c_left_hpc_vs,-0.004270258980309348,0.004270258980309348
left_interaction,705,391748,338,Sex1,-0.023687206041329463,0.023687206041329463
left_interaction,705,391748,338,c_left_hpc_vs:Sex1,-0.002419129655336047,0.002419129655336047
left_interaction,707,297655,339,c_ICV,-0.04500933006125911,0.04500933006125911
left_interaction,707,297655,339,c_left_hpc_vs,0.0035918259303503054,0.0035918259303503054
left_interaction,707,297655,339,Sex1,-0.004180103788822033,0.004180103788822033
left_interaction,707,297655,339,c_left_hpc_vs:Sex1,0.0030564058267892064,0.0030564058267892064
left_interaction,708,131217,340,c_ICV,-0.006955495849375787,0.006955495849375787
left_interaction,708,131217,340,c_left_hpc_vs,-0.00427064844351719,0.00427064844351719
left_interaction,708,131217,340,Sex1,-0.003658310294263996,0.003658310294263996
left_interaction,708,131217,340,c_left_hpc_vs:Sex1,-0.0018108691449575205,0.0018108691449575205
left_interaction,709,205725,341,c_ICV,0.0195554261202773,0.0195554261202773
left_interaction,709,205725,341,c_left_hpc_vs,-0.007789455843881115,0.007789455843881115
left_interaction,709,205725,341,Sex1,0.008180474153472497,0.008180474153472497
left_interaction,709,205725,341,c_left_hpc_vs:Sex1,-0.005496529990603104,0.005496529990603104
left_interaction,710,770352,342,c_ICV,0.025727038670927557,0.025727038670927557
left_interaction,710,770352,342,c_left_hpc_vs,-0.008061971774028811,0.008061971774028811
left_interaction,710,770352,342,Sex1,-0.013693357634584557,0.013693357634584557
left_interaction,710,770352,342,c_left_hpc_vs:Sex1,-0.0063543099800534904,0.0063543099800534904
left_interaction,711,211720,343,c_ICV,0.043178375262717485,0.043178375262717485
left_interaction,711,211720,343,c_left_hpc_vs,-4.775897815820878e-4,4.775897815820878e-4
left_interaction,711,211720,343,Sex1,0.055693113052718436,0.055693113052718436
left_interaction,711,211720,343,c_left_hpc_vs:Sex1,-0.001404871360422197,0.001404871360422197
